Transaction Date,Details,Account,Category,Subcategory,Notes,Debit,Credit,Balance,Original Description
09-11-2022,Roberts Group,Transaction Account,Gifts & Donations,Gifts,Company officer pretty.,629.0,,33274.61,West foot senior particular hot Republican.
14-06-2022,"Webb, Huffman and Mann",Transaction Account,Personal,Other Personal Expenses,Bed real success else role money son.,712.44,,12006.89,Huge few nothing hear something program.
04-03-2023,"Lang, Brock and Gordon",Transaction Account,Transportation,Taxis,Sense man future capital rise mind age.,544.56,,31302.77,Focus big especially bed as.
23-01-2023,Cunningham-Campos,Transaction Account,Gifts & Donations,Gifts,Method part do agency.,677.92,,43903.32,Investment down actually.
24-04-2023,"Cruz, Evans and Robertson",Transaction Account,Travel,Flights,Memory project plant health number success hit.,341.31,,35283.45,Relate guy paper growth miss reach.
23-06-2022,Hill-Snyder,Transaction Account,Personal,Clothing,North south TV green plant.,85.07,,30454.76,Store style unit health.
21-10-2022,"Meyer, Rivas and Freeman",Transaction Account,Utilities,"Electricity, Gas & Water",Congress attorney suddenly.,519.39,,11561.62,Local least not little data.
09-06-2022,Hopkins Group,Transaction Account,Financial,Cash Withdrawals,Serve talk hundred structure general plant member.,773.19,,35997.66,Half in scientist inside serious.
02-01-2023,Madden-Carr,Transaction Account,Home,Furnishings,Else evening laugh.,407.57,,37819.21,Grow necessary account minute candidate fire.
17-11-2022,Kelly and Sons,Transaction Account,Food & Drink,Alcohol & Bars,Bit officer thing large know agent.,61.83,,37870.6,Late carry nice reason middle charge.
28-11-2022,Goodman Ltd,Transaction Account,Personal,Other Personal Expenses,Throw itself across natural marriage.,534.39,,38950.58,Cost region we explain.
08-07-2022,"Scott, Schaefer and Moore",Transaction Account,Utilities,"Electricity, Gas & Water",Sister life must enter send some.,470.15,,35494.8,Enough safe important maybe.
22-07-2022,"Reed, Cook and Warren",Transaction Account,Personal,Other Personal Expenses,Cultural probably consider these result environmental.,245.73,,22353.43,Hour friend even eye interview.
16-11-2022,"Long, Hernandez and Armstrong",Transaction Account,Travel,Tours & Cruises,Spend far such number treat.,658.67,,44728.4,Pm hotel price position.
25-01-2023,Brown-Patel,Transaction Account,Home,Furnishings,Improve account simply road.,62.68,,12067.78,Daughter financial in age Democrat.
22-11-2022,"Wilson, Dillon and Lawson",Transaction Account,Utilities,Pay TV,Unit out time why short.,390.04,,28443.71,Friend room whose hear start culture during.
08-06-2022,Williams PLC,Transaction Account,Personal,Clothing,Edge street page.,608.48,,30886.26,Standard learn choice arrive pattern area.
06-10-2022,Howell LLC,Transaction Account,Home,Furnishings,Understand research modern three according protect TV.,603.73,,38919.36,Authority cause professor stand family Congress.
01-08-2022,Caldwell-Spencer,Transaction Account,Insurance,Financial Insurance,Woman central itself situation brother civil.,353.46,,12519.08,Upon down on available no.
26-10-2022,Thompson-King,Transaction Account,Gifts & Donations,Gifts,Call create member fall thing marriage.,153.33,,38668.73,Both song thus this three scientist ball.
10-11-2022,"Williams, Cochran and Meadows",Transaction Account,Education,Stationery,Build name already chair reason wife since.,777.12,,18853.94,Baby more threat fill possible most.
21-10-2022,"Reeves, Morgan and Yang",Transaction Account,Food & Drink,Groceries,Such success there two skin environment laugh.,127.64,,14008.19,Successful fill buy senior she down.
22-01-2023,Fields-Blair,Transaction Account,Gifts & Donations,Gifts,Old school close executive forget.,101.83,,43574.67,State true poor imagine require continue.
15-03-2023,Castillo-Coleman,Transaction Account,Financial,Transfers,World compare far friend part happen.,288.84,,14891.07,Instead young doctor lot seat soldier pick leave.
14-07-2022,"Foster, Kennedy and Santiago",Transaction Account,Personal,Other Personal Expenses,Myself through light record.,754.97,,11281.66,Tough Republican hope place.
12-07-2022,"Juarez, Meadows and Martinez",Transaction Account,Personal,Clothing,Far simply check professor tonight.,591.56,,23653.27,Choice stand voice movement.
31-07-2022,Herman-Kerr,Transaction Account,Health & Medical,Eyes,By security recent table TV.,183.35,,12888.52,Put or debate turn.
30-10-2022,Wells Ltd,Transaction Account,Technology,Software,Even commercial program seat green toward choice.,299.02,,35155.83,Member industry space.
18-05-2023,Bean-Smith,Transaction Account,Transportation,Taxis,Fall use site word lead to.,664.0,,48392.77,Expect indicate term third economic onto.
28-05-2022,Fisher-Rodriguez,Transaction Account,Personal,Other Personal Expenses,Represent star reveal ball study.,90.03,,31549.31,Chance security enough very.
09-07-2022,Cruz LLC,Transaction Account,Financial,Transfers,New water like buy him.,18.17,,42922.67,Rather address available season.
02-09-2022,Munoz LLC,Transaction Account,Gifts & Donations,Gifts,Red maybe bring add yes.,665.72,,24175.15,Budget hope son star right campaign.
24-08-2022,Garcia-Thompson,Transaction Account,Food & Drink,Fast Food,Maybe officer here.,431.58,,45978.37,Early marriage source region fact.
30-12-2022,Young LLC,Transaction Account,Personal,Clothing,Almost church difference movement television can number fall.,701.9,,31814.16,Wish purpose wear get radio.
25-12-2022,Riddle PLC,Transaction Account,Financial,Direct Debits,Wind process rest husband different beyond consumer.,344.3,,30115.37,Issue culture such investment likely.
18-03-2023,Reeves-Bass,Transaction Account,Financial,Direct Debits,War soldier involve capital sense husband.,632.06,,19991.08,Movement adult day property responsibility benefit watch.
02-01-2023,Herman Ltd,Transaction Account,Home,Furnishings,Every door include carry father source exist.,212.97,,42404.55,Drug truth still address reality understand political.
27-08-2022,"Melton, Curry and Estes",Transaction Account,Travel,Tours & Cruises,Available lay these.,6.35,,11251.14,Stock not listen.
12-04-2023,"Murray, Lowery and Webb",Transaction Account,Income,Salary,Threat sit suggest special participant partner production.,,871.04,16042.67,Wear nice computer.
12-05-2023,"Harrison, Moore and Medina",Transaction Account,Food & Drink,Groceries,Morning professor order organization clearly.,591.13,,49427.93,Event simple although reduce event ago law.
16-11-2022,"King, Pugh and Singleton",Transaction Account,Services,Government,Computer determine pull security.,657.28,,36252.13,Think cell actually keep trouble effort.
18-06-2022,Peters-Sellers,Transaction Account,Health & Medical,Pharmacies,Week town type point school.,42.11,,39633.84,Friend exactly parent or need either bank.
07-06-2022,"Brock, Fisher and Archer",Transaction Account,Food & Drink,Fast Food,Machine so ball able story.,612.76,,32068.56,Report heavy I explain about.
03-01-2023,Lopez and Sons,Transaction Account,Transportation,Parking & Tolls,Course evidence newspaper various why.,257.17,,16019.65,Those anyone foot stuff near red century.
13-05-2023,"Hancock, Gould and Miles",Transaction Account,Leisure,Music,Rise situation hit involve network since.,35.06,,25588.71,Camera teach and attention.
08-08-2022,"Preston, Olson and Miller",Transaction Account,Services,Government,Teacher occur by now dark executive security.,272.14,,44704.06,In politics black teacher small soon.
09-10-2022,Clark Group,Transaction Account,Financial,Transfers,Course speech return interview.,460.63,,31017.84,Try always even loss course available.
24-05-2023,Logan LLC,Transaction Account,Home,Furnishings,House difference describe threat risk.,749.9,,40768.99,Spring question building.
04-06-2022,"Smith, Fox and Dawson",Transaction Account,Insurance,Financial Insurance,Down player life cover social.,51.5,,29432.14,Theory charge issue must.
29-12-2022,Boone Ltd,Transaction Account,Personal,Clothing,Morning task good behind.,405.65,,18257.36,Happy evening life this theory both amount.
26-05-2023,King-Bean,Transaction Account,Income,Salary,Wall conference among claim individual protect.,,751.01,37921.39,Loss window structure increase last safe establish risk.
19-03-2023,Brown-Kelley,Transaction Account,Income,Salary,Writer decade clearly.,,556.08,10545.29,Law dog can member court.
16-02-2023,Kirby Group,Transaction Account,Health & Medical,Other Health Expenses,Medical should example spend believe career.,394.17,,18567.72,Rest where have those result.
18-08-2022,Bridges-Morales,Transaction Account,Gifts & Donations,Gifts,Despite morning half.,629.35,,28070.98,Sister activity glass notice range much.
08-07-2022,Hamilton-Sloan,Transaction Account,Home,Furnishings,Operation style system former.,29.86,,15199.27,Drop exist lay concern start item citizen.
17-08-2022,Jacobs-Smith,Transaction Account,Personal,Clothing,Could building manager scene.,27.8,,18834.31,Poor past cold class usually goal.
12-06-2022,Stewart Group,Transaction Account,Leisure,Movies,Collection long generation.,625.48,,27927.97,Pick ball reflect center training play lead.
10-06-2022,Santiago-Gonzalez,Transaction Account,Personal,Clothing,Improve watch discover class sit.,148.84,,45493.26,Method detail challenge morning admit.
21-02-2023,Atkins LLC,Transaction Account,Education,Stationery,Reduce market food maybe lawyer themselves.,618.54,,23699.91,Than total analysis condition thousand surface against.
29-10-2022,Blake-Hogan,Transaction Account,Education,Stationery,Investment move Democrat cultural shoulder.,533.79,,37060.41,Any have age indicate age fight nation natural.
28-04-2023,Mathis Inc,Transaction Account,Income,Salary,Yet particular read wonder.,,824.98,25324.78,Suddenly physical player third where.
29-06-2022,"Martin, Deleon and Holmes",Transaction Account,Home,Furnishings,Particularly idea sell money TV.,257.34,,42710.58,Start director glass design ready once to.
04-07-2022,Mccullough-Mayer,Transaction Account,Utilities,Pay TV,System mention two down morning positive space.,492.12,,41349.6,Already explain table.
08-08-2022,"Decker, Duncan and Cunningham",Transaction Account,Financial,Cash Withdrawals,Serve war structure figure.,373.58,,43011.75,Political whom customer blood then another police character.
08-04-2023,Harrell Ltd,Transaction Account,Transportation,Public Transit,Blood herself window debate north majority according.,40.98,,36406.49,Democratic center including per agree political improve.
20-05-2023,Kline Group,Transaction Account,Food & Drink,Fast Food,Building laugh commercial.,606.94,,18830.18,Act film toward some coach difficult number interest.
24-12-2022,"Obrien, Hayes and Robinson",Transaction Account,Utilities,Phone,Sport actually Republican.,522.2,,28954.87,Century out child direction anything.
26-12-2022,Eaton LLC,Transaction Account,Education,Stationery,You director white product road human especially.,328.34,,45597.71,Between arm modern face ever.
26-06-2022,"Farley, Weeks and Gonzalez",Transaction Account,Utilities,"Electricity, Gas & Water",Notice east official gun somebody development price.,284.84,,42949.27,Live somebody center which its.
30-03-2023,Bridges-Bell,Transaction Account,Health & Medical,Eyes,Human doctor certain where among view race.,177.97,,43311.6,Soon its item best exactly.
26-01-2023,"Morales, Garcia and Davis",Transaction Account,Utilities,Phone,Technology inside edge game.,565.09,,49210.58,Its relationship especially look.
18-12-2022,"Delgado, Ferguson and Morrison",Transaction Account,Financial,Cash Withdrawals,Job memory over care also issue.,205.59,,37510.45,Win through production tough recently sing.
12-07-2022,Thomas-Mason,Transaction Account,Utilities,Phone,Nice somebody charge claim mother whole.,390.96,,21405.34,Agreement attention class attorney player music.
10-04-2023,Dorsey-Orr,Transaction Account,Transportation,Fuel,Find know could southern.,198.12,,46636.48,Anyone likely short rather.
22-01-2023,"Lozano, Clark and West",Transaction Account,Home,Furnishings,Main provide realize.,52.78,,46325.32,A under show left sister history.
01-07-2022,Hughes-Rivera,Transaction Account,Health & Medical,Eyes,Create too believe reflect song really good.,444.75,,35549.85,Address show possible season human specific.
19-06-2022,"Martinez, Brown and Moore",Transaction Account,Health & Medical,Pharmacies,Wife best increase really itself reflect.,524.61,,43129.09,At skill administration.
08-10-2022,Price Group,Transaction Account,Insurance,Financial Insurance,Energy another once shoulder defense.,606.71,,44839.47,Democratic center together forward behind.
04-09-2022,"Montgomery, Castro and Adams",Transaction Account,Education,Stationery,Husband inside far prevent collection each.,739.23,,10866.6,Wrong garden party American enjoy data.
03-02-2023,"Wheeler, Stewart and Avery",Transaction Account,Leisure,Movies,Risk activity five address technology develop.,503.17,,49951.34,Value hot everything serious allow little meet.
25-12-2022,"Cook, Smith and King",Transaction Account,Leisure,Fun,Relationship black bad article.,40.05,,21775.98,Politics opportunity listen best be agency produce.
19-06-2022,Rosales PLC,Transaction Account,Income,Salary,Indicate smile image tonight tell.,,621.04,17439.56,Student lot like discussion.
02-02-2023,Guerrero PLC,Transaction Account,Leisure,Movies,Card institution available teacher.,411.31,,30580.44,Guy close study argue response down firm want.
08-12-2022,Johnson-Forbes,Transaction Account,Utilities,Pay TV,Which protect perform list.,90.08,,36906.61,Late work early.
24-11-2022,"Clark, Smith and Rocha",Transaction Account,Transportation,Fuel,Beautiful best effect history prove.,378.2,,36471.99,Can enjoy much identify which history will.
01-07-2022,"Davis, Sanders and Cole",Transaction Account,Services,Marketing,Environment most military performance goal affect after rich.,618.87,,28994.73,Time game business Congress democratic authority skin.
17-12-2022,"Hunter, Little and Goodman",Transaction Account,Utilities,"Electricity, Gas & Water",Food part produce network.,714.95,,22272.04,Nearly writer walk focus put.
03-01-2023,Smith-Decker,Transaction Account,Utilities,"Electricity, Gas & Water",Surface could series fire campaign next eat compare.,270.98,,21265.86,Country answer glass top impact still sometimes.
02-01-2023,White LLC,Transaction Account,Services,Government,Develop treatment office arrive.,543.84,,17391.5,Center effect for family responsibility watch.
22-07-2022,Gill-Powers,Transaction Account,Leisure,Music,Close range mother allow debate fight relationship.,249.81,,12200.06,Board time on go statement debate on.
06-09-2022,Grant-Smith,Transaction Account,Education,Stationery,Left way word yard society onto.,123.36,,29482.23,Thus hour order avoid thank.
06-02-2023,Harris-Snyder,Transaction Account,Financial,Direct Debits,World out note evening senior.,231.42,,32039.42,Better thought attention skill.
09-11-2022,Skinner-Johnson,Transaction Account,Income,Salary,Already sing see give body model big card.,,876.27,20633.4,Just can along born material relate marriage.
05-07-2022,"Rogers, Beltran and Mills",Transaction Account,Gifts & Donations,Gifts,Per TV authority.,726.49,,26288.54,Local middle commercial fall develop.
04-11-2022,Lloyd Inc,Transaction Account,Leisure,Music,General wife information town popular cell safe.,174.23,,12446.92,Carry here red.
27-04-2023,"Obrien, Franco and Brooks",Transaction Account,Income,Salary,Against not by bit officer protect relate approach.,,967.86,40506.62,Play bed accept partner mission follow.
27-05-2023,Berry-Morris,Transaction Account,Insurance,Financial Insurance,Response peace church response product listen section.,581.35,,30419.65,Policy away hand goal difficult opportunity whether.
14-01-2023,"Scott, Wood and Butler",Transaction Account,Technology,Software,At how east.,299.92,,32361.03,Itself seven society well star teach.
02-01-2023,"Riley, Diaz and Garcia",Transaction Account,Insurance,Financial Insurance,Nation outside whole probably during.,751.0,,18024.27,Challenge life nice claim.
29-08-2022,"Burton, Holland and Mcgrath",Transaction Account,Financial,Cash Withdrawals,Hour opportunity him several.,73.67,,38036.12,Argue easy best what his.
28-06-2022,"Skinner, Phillips and Lowery",Transaction Account,Gifts & Donations,Gifts,Trouble director live agreement always worry design.,192.72,,41690.86,Many know father father box strategy thing often.
09-03-2023,Fischer LLC,Transaction Account,Leisure,Games,Around leave front your.,447.52,,48256.1,Book must member hot lay.
26-04-2023,Haney-Owens,Transaction Account,Financial,Transfers,City drive child audience.,460.32,,11615.27,Good main wrong fact.
11-09-2022,Manning PLC,Transaction Account,Financial,Transfers,Other age less you among again democratic.,443.72,,30032.0,Which paper order manager.
22-11-2022,Black-Gibson,Transaction Account,Gifts & Donations,Gifts,Girl friend into city.,461.21,,18592.58,Least event avoid work by.
13-01-2023,Hall Ltd,Transaction Account,Utilities,Phone,Scientist pick perform safe win even.,312.26,,22730.43,Enough person and I system rather heart.
17-04-2023,Bowen-Moore,Transaction Account,Income,Salary,Against beyond first something Republican.,,839.07,35869.45,Eight power well test without number cause far.
13-12-2022,Berry-Gray,Transaction Account,Food & Drink,Restaurants,Just so hope identify station.,611.41,,30590.04,Part know option sport kid.
22-04-2023,Coleman-Powell,Transaction Account,Transportation,Fuel,Law specific moment goal that exist expert.,178.81,,22997.05,Event church various.
22-02-2023,"Griffin, Liu and Torres",Transaction Account,Transportation,Taxis,Doctor study sister as amount.,76.58,,26870.92,Trip she five.
27-03-2023,Miller Group,Transaction Account,Travel,Travel Entertainment,Material practice hit phone.,748.31,,38740.01,Magazine star difficult include.
11-04-2023,"Shepherd, Thornton and David",Transaction Account,Financial,Transfers,Size mention movement author theory.,380.28,,31319.09,Serious contain interest development.
21-12-2022,Hanna-Love,Transaction Account,Leisure,Music,Well walk rate executive brother set.,165.48,,35189.15,Sea benefit magazine myself what civil.
02-11-2022,Garcia Inc,Transaction Account,Technology,Online Services,Firm travel my economy painting cultural.,675.18,,49460.85,Bed war hand international year.
21-04-2023,"Bates, Barber and Fisher",Transaction Account,Financial,Transfers,Pull address score full arm run street.,65.88,,47977.79,Worry range child cover yet indicate play.
02-05-2023,"Richards, Dickerson and Hernandez",Transaction Account,Transportation,Public Transit,Day analysis baby guy season data.,675.33,,36678.85,Parent conference why director food fine worker.
29-04-2023,Richardson-Campbell,Transaction Account,Transportation,Public Transit,Must week her ask.,521.28,,15855.36,Power oil free trip exist draw none.
03-09-2022,Ortega-Holder,Transaction Account,Utilities,"Electricity, Gas & Water",Certain week employee building into develop.,121.67,,15980.44,Democrat sell size day now able.
23-12-2022,Rush PLC,Transaction Account,Gifts & Donations,Gifts,Heart and ask budget.,4.18,,22842.86,Arrive whether out movement enough respond old.
27-02-2023,"Bruce, Garcia and Lopez",Transaction Account,Personal,Other Personal Expenses,Reason ok heavy here force learn act.,290.34,,46392.22,Young note heavy social research deep.
26-08-2022,"James, Carson and Gordon",Transaction Account,Insurance,Financial Insurance,Commercial join audience key tax process.,358.95,,23137.62,Somebody miss computer.
13-06-2022,"Byrd, Jarvis and Macdonald",Transaction Account,Utilities,"Electricity, Gas & Water",Ground like offer strong.,529.99,,11766.03,Yard see man.
05-11-2022,Boyer Inc,Transaction Account,Travel,Accommodation,Question artist plan professor hotel half.,540.21,,30997.4,Trial test manage interest none prepare.
17-11-2022,Watkins-Mckay,Transaction Account,Leisure,Games,Blood individual shake most main you student.,289.1,,20224.57,Cell easy protect quickly magazine try these.
14-07-2022,Francis-Johnson,Transaction Account,Personal,Other Personal Expenses,Forget magazine somebody art ten.,632.7,,21774.83,Happen fund big tell career can case.
28-05-2022,"Palmer, Sellers and Jones",Transaction Account,Travel,Accommodation,Property lose camera natural national.,400.76,,46833.64,Wrong dinner simple answer.
08-11-2022,Allison-Cook,Transaction Account,Education,Stationery,Good whom program Mr kitchen.,196.03,,15174.07,Military enjoy meeting boy experience resource suddenly.
06-10-2022,"Barnes, Padilla and Jimenez",Transaction Account,Travel,Travel Entertainment,Throughout federal them left.,601.33,,21204.06,Amount total up gas language rate throw.
17-10-2022,Taylor-Esparza,Transaction Account,Personal,Other Personal Expenses,Activity beyond ago change call able.,588.92,,26276.39,Sure whatever beautiful enjoy.
10-02-2023,Forbes-Garcia,Transaction Account,Technology,Hardware,New then both they million important doctor approach.,195.26,,39799.02,Power east sign television protect.
23-07-2022,"Brown, Shaw and Alvarado",Transaction Account,Income,Salary,Claim run maybe spring when television section.,,917.01,14019.15,Available blue expect friend.
23-07-2022,Randolph Ltd,Transaction Account,Insurance,Financial Insurance,Heart glass play outside peace.,2.67,,35769.52,None rule produce different suffer.
04-04-2023,Russell-Wright,Transaction Account,Insurance,Financial Insurance,Raise police it black still common technology.,661.9,,28823.69,Government eye occur catch talk visit.
06-01-2023,West-Cooper,Transaction Account,Transportation,Taxis,Attack stage use site my figure quality.,664.78,,33304.68,Identify real analysis.
13-04-2023,Williams PLC,Transaction Account,Food & Drink,Restaurants,Article find enjoy throw would treatment should.,29.83,,14740.56,Again beyond speech including drop.
03-08-2022,"Johnson, Wallace and Meyer",Transaction Account,Income,Salary,Case rather put agreement box artist.,,954.0,46553.04,Expert create only husband end push evening such.
28-08-2022,Anderson-Woodard,Transaction Account,Home,Furnishings,Old indeed image rather campaign everybody reveal.,254.14,,24150.71,Above beyond significant natural.
06-11-2022,"Torres, Tyler and Davis",Transaction Account,Income,Salary,Subject room despite.,,885.94,46555.85,Church really small open money.
17-08-2022,"Hogan, Scott and Carson",Transaction Account,Travel,Accommodation,Maybe explain democratic.,354.98,,39901.52,Brother since best cup.
08-04-2023,"Madden, Lambert and Miller",Transaction Account,Gifts & Donations,Gifts,Follow military professional order traditional view young.,42.85,,47189.35,Wife ever food.
02-02-2023,"Hunter, Walter and Cox",Transaction Account,Transportation,Fuel,Produce miss eye building.,634.66,,31002.9,War measure body condition realize.
22-12-2022,Griffin PLC,Transaction Account,Utilities,Pay TV,Voice morning my new.,432.16,,18858.7,Senior sometimes or but successful get food.
14-09-2022,Gardner-Herman,Transaction Account,Services,Government,Single do themselves part.,85.79,,22143.64,Most rich face month.
12-04-2023,Woods PLC,Transaction Account,Personal,Clothing,Public everybody final feeling style campaign.,57.97,,30404.81,Training respond agree guess.
19-01-2023,Cabrera-Adams,Transaction Account,Food & Drink,Restaurants,Safe catch walk foot resource season chance physical.,734.6,,48859.56,Them want mission until today.
17-09-2022,Roberts-Mccoy,Transaction Account,Utilities,Pay TV,Give despite avoid me.,779.82,,42568.43,Available difference would fine.
08-01-2023,Martinez LLC,Transaction Account,Personal,Clothing,Crime first risk.,5.19,,44927.99,Those base price value allow this heart tonight.
19-03-2023,Long-Ford,Transaction Account,Services,Marketing,Even wide analysis say Mr draw check.,186.29,,32778.16,Page discuss magazine position seat eight.
18-10-2022,"Lester, Summers and Odom",Transaction Account,Food & Drink,Groceries,Take there organization level.,617.86,,25331.42,Including former choice often.
31-07-2022,Richards and Sons,Transaction Account,Technology,Software,Picture quality college.,166.8,,15088.5,Another certainly second reveal plant as image.
23-04-2023,Mcintosh-Frazier,Transaction Account,Gifts & Donations,Gifts,Concern study majority cup hear as fact.,76.59,,44035.14,Themselves anyone measure economy.
17-03-2023,Mcdaniel LLC,Transaction Account,Financial,Transfers,Your the when federal crime western.,430.08,,18944.42,Benefit feel interview natural in.
07-01-2023,Riley LLC,Transaction Account,Home,Furnishings,Break bank none red.,331.02,,41501.66,Name school movie TV.
05-05-2023,Harper and Sons,Transaction Account,Income,Salary,Civil about sell should.,,991.41,26925.87,Increase daughter still simply.
14-07-2022,"Chang, Brown and Martin",Transaction Account,Utilities,Pay TV,My old action than.,635.75,,12186.15,Skin appear maintain eat there usually assume.
12-10-2022,"Sims, Weber and Bell",Transaction Account,Home,Furnishings,Official around theory.,115.86,,16186.57,Religious everybody language.
02-11-2022,Mcintosh Inc,Transaction Account,Education,Stationery,Receive together bar five issue face.,159.59,,20031.2,Try all positive another yourself middle type.
26-12-2022,Merritt-Taylor,Transaction Account,Services,Marketing,It cup eat age with music.,54.59,,43658.14,Within through public commercial fly hold.
24-03-2023,Alexander-King,Transaction Account,Gifts & Donations,Gifts,Plant young approach.,486.87,,20289.47,Hair could exist serious leave show player.
08-11-2022,"Jefferson, Collins and Marquez",Transaction Account,Technology,Software,Personal company policy seek face suggest rock.,27.73,,41357.03,Operation budget fast plant.
15-03-2023,Collins Group,Transaction Account,Services,Government,Environment second whom change among activity.,66.58,,41094.52,Interview defense manage alone stock behavior share.
15-02-2023,Howard-Chen,Transaction Account,Gifts & Donations,Gifts,Several recently inside across without statement.,763.81,,34610.6,Be detail protect large ahead.
23-08-2022,Larson-Bell,Transaction Account,Income,Salary,Lose least Mrs wait tax.,,965.79,25880.45,Skill certainly visit.
22-07-2022,Ruiz-Tucker,Transaction Account,Personal,Other Personal Expenses,Police skin page machine whether research good.,64.97,,28470.78,To how across game always summer.
20-10-2022,Nelson-Warren,Transaction Account,Health & Medical,Eyes,Dream goal general type six college south.,789.84,,25080.51,Country director century foot.
31-07-2022,"Campbell, Hill and Williams",Transaction Account,Gifts & Donations,Gifts,Road live discuss trip by resource.,513.78,,14693.93,Memory center day more product.
01-06-2022,"Rodriguez, Thompson and Johns",Transaction Account,Education,Stationery,World happen amount executive.,741.85,,39713.05,While father quality former firm simply.
04-04-2023,Christian PLC,Transaction Account,Financial,Transfers,Meeting although husband beautiful us.,207.32,,43569.62,Expert scene rich skill.
05-04-2023,Nguyen and Sons,Transaction Account,Services,Marketing,Strategy head party.,32.81,,49532.02,Become fight off our pull.
27-06-2022,"Martin, Anderson and Little",Transaction Account,Financial,Cash Withdrawals,Theory officer government.,493.02,,44319.79,Main also after seem million represent.
18-04-2023,Phillips-Hall,Transaction Account,Education,Stationery,Thank police physical.,201.35,,48562.42,Cell federal agent exist also answer thing someone.
24-11-2022,"Lyons, Crawford and Weeks",Transaction Account,Travel,Travel Entertainment,Condition hand find around purpose nothing woman.,108.39,,20045.06,Food point language though.
02-02-2023,Harper and Sons,Transaction Account,Health & Medical,Other Health Expenses,Right artist reason meet resource community tough.,613.37,,33970.8,About word guess contain tax.
04-05-2023,"Nelson, King and Carr",Transaction Account,Home,Furnishings,Subject police dream increase million.,452.51,,45041.16,Beyond would poor quality if.
02-10-2022,Lin Ltd,Transaction Account,Leisure,Music,Not nothing collection before join and loss result.,520.03,,21337.8,Moment anything but.
26-03-2023,"Jensen, Young and Lane",Transaction Account,Education,Stationery,Him effort although shoulder onto culture likely member.,329.09,,30711.1,Lead way though knowledge.
01-07-2022,"Bailey, Griffin and Contreras",Transaction Account,Financial,Transfers,Address property way phone star rise.,634.48,,32623.46,Station draw what of town majority student.
30-11-2022,Aguilar-Franco,Transaction Account,Personal,Clothing,To who air method theory.,749.08,,33680.06,Particular eat guy per light common future week.
09-06-2022,"Griffin, Trevino and Ross",Transaction Account,Education,Stationery,Product newspaper degree special until those.,345.41,,31910.3,Receive paper citizen.
03-11-2022,Love-Bennett,Transaction Account,Financial,Cash Withdrawals,Plant physical article return street daughter international my.,795.26,,26265.77,Major of event seat than choice according ball.
04-08-2022,Murphy and Sons,Transaction Account,Leisure,Movies,Alone together address staff.,481.21,,43516.65,Small sell issue remain learn.
24-03-2023,Brown-Reed,Transaction Account,Income,Salary,Data long relate upon possible size boy.,,750.45,30057.66,Job on cup several.
25-08-2022,Olsen-Frey,Transaction Account,Health & Medical,Pharmacies,Recent yes article.,581.36,,26670.23,Throw travel who window else tell wife.
26-07-2022,Walter PLC,Transaction Account,Leisure,Games,Require machine medical church radio.,104.24,,16406.76,Hotel that cultural every home local performance.
18-02-2023,Williams LLC,Transaction Account,Utilities,Pay TV,Those book stand large market raise.,357.1,,19237.94,Entire himself box deep campaign concern.
19-06-2022,Alvarez-Rivera,Transaction Account,Home,Furnishings,Local technology author.,701.65,,30653.38,Term share despite other.
04-11-2022,"Green, Davis and Burgess",Transaction Account,Transportation,Public Transit,Those beat material section general reveal recent.,583.11,,17955.79,Mrs magazine president benefit season official certain community.
03-08-2022,Allen Inc,Transaction Account,Utilities,"Electricity, Gas & Water",Market short our minute finish professor.,322.27,,44905.67,Lay see woman along single performance.
06-07-2022,Maxwell Group,Transaction Account,Health & Medical,Pharmacies,Him talk find.,429.13,,20889.46,New young by.
27-01-2023,Peters-Brown,Transaction Account,Gifts & Donations,Gifts,Forget Mr mission.,768.36,,15702.62,Company hear interview price huge.
22-07-2022,Rogers LLC,Transaction Account,Personal,Clothing,Religious pull many international image after knowledge listen.,24.56,,43144.67,Building while ago nor activity ahead.
04-03-2023,Morris and Sons,Transaction Account,Home,Furnishings,Yet property these just low executive.,450.79,,31810.07,Either few water head watch.
29-04-2023,"Macdonald, Robbins and Roth",Transaction Account,Food & Drink,Other Food Expenses,Exist human value.,88.96,,45997.97,Television individual accept success magazine table.
08-11-2022,"Martin, Smith and Stephenson",Transaction Account,Gifts & Donations,Gifts,My near interview his fish most cover.,50.85,,40694.02,Wait not national heavy.
11-05-2023,Brown PLC,Transaction Account,Health & Medical,Other Health Expenses,Officer beyond establish pretty wall.,671.67,,11827.03,Increase on standard right last.
23-10-2022,Freeman-Farley,Transaction Account,Health & Medical,Eyes,View which majority help hour new.,515.84,,47563.18,Daughter indeed goal evidence indeed.
17-12-2022,Swanson-Perkins,Transaction Account,Services,Marketing,Very carry itself war drive may everything.,687.69,,36244.55,City court hope seek test stuff oil.
31-10-2022,Washington-Anderson,Transaction Account,Technology,Online Services,Medical management board also offer worker young.,121.23,,23469.15,Well get candidate.
22-07-2022,"Potts, Mays and Washington",Transaction Account,Food & Drink,Groceries,Consumer career pass town from.,732.21,,37999.27,Direction early far weight.
12-03-2023,Sweeney-Love,Transaction Account,Leisure,Games,Situation parent far street.,350.07,,48675.54,Husband use ball name explain certain detail.
13-01-2023,Miller LLC,Transaction Account,Education,Stationery,Than explain race deal.,109.7,,28631.44,Language just offer door phone someone.
05-01-2023,"Lane, Bradford and Torres",Transaction Account,Personal,Clothing,Whom buy response generation thousand relationship why.,109.56,,19290.49,Reveal red recently.
